Sender,Reciever,PopSender,BudgetSender,ExpRevSender,PopReciever,BudgetReciever,ExpRevReciever,Meat Type,Volume,Meat Price,Toxicity,Day Number,Trade Discount
Canada,Egypt,5183729,6082416,7308677,2294515,8580556,4573482,Elephant,134.16081529401012,1432,9.255134362913491,1,0.859197379002793
Canada,Georgia,5183729,6082416,7308677,5079688,1312244,1596891,Komodo Dragon,9426.834316095117,521,5.975105506002393,1,0.9506096815174343
Canada,Germany,5183729,6082416,7308677,4696866,9085626,7741364,Human,6318.203785154909,658,11.327339404888622,1,0.5069908934761773
Canada,Iceland,5183729,6082416,7308677,1536628,9754943,2188457,Condor,2577.018815856361,1203,10.717142288453708,1,0.5133783009510562
Canada,Ecuador,5183729,6082416,7308677,6094927,2198967,9003485,Komodo Dragon,2927.7750008340045,521,5.975105506002393,1,0.7505318225158906
Canada,Ecuador,5183729,6082416,7308677,6094927,2198967,9003485,Panda,3361.5292066597826,1431,4.297132480270266,1,0.7505318225158906
Canada,Sweden,5183729,6082416,7308677,7675459,7653674,916040,Condor,11892.688132688236,1203,10.717142288453708,1,0.6928647282237079
Canada,Sweden,5183729,6082416,7308677,7675459,7653674,916040,Panda,5585.978551811466,1431,4.297132480270266,1,0.6928647282237079
Canada,Japan,5183729,6082416,7308677,9397450,3481763,1315120,Panda,6328.417618902912,1431,4.297132480270266,1,0.8276865532797373
Canada,Japan,5183729,6082416,7308677,9397450,3481763,1315120,Human,3509.4388698739735,658,11.327339404888622,1,0.8276865532797373
Canada,China,5183729,6082416,7308677,4573769,1317373,233674,Condor,594.8991562572547,1203,10.717142288453708,2,0.6438967323208868
Canada,Germany,5183729,6082416,7308677,4696866,9085626,7741364,Human,4375.871197728933,658,11.327339404888622,2,0.5069908934761773
Canada,Ecuador,5183729,6082416,7308677,6094927,2198967,9003485,Panda,4138.735025220638,1431,4.297132480270266,2,0.7505318225158906
